NP_116764.2,gi|852764507|ref|XP_012877035.1|,93.750,96.88,256,16,0,1,256,168,423,5.38e-76,243
NP_116764.2,gi|1176267805|ref|XP_020635566.1|,31.765,49.80,255,163,5,1,254,54,298,4.30e-74,234
NP_116764.2,gi|663254995|ref|XP_008490097.1|,30.196,49.41,255,161,3,1,255,44,281,5.10e-74,233
NP_116764.2,gi|744545708|ref|XP_010997662.1|,92.188,95.70,256,20,0,1,256,192,447,6.58e-74,238
NP_116764.2,gi|966964776|ref|XP_001090833.2|,29.020,47.06,255,167,4,1,254,134,375,1.07e-73,236
NP_116764.2,gi|953851494|ref|XP_014594815.1|,95.312,97.66,256,12,0,1,256,173,428,1.36e-73,237
NP_116764.2,gi|527261927|ref|XP_005149203.1|,31.373,50.98,255,158,3,1,255,45,282,1.41e-73,232
NP_116764.2,gi|562862721|ref|XP_006159654.1|,93.359,96.48,256,17,0,1,256,192,447,1.85e-73,237
NP_116764.2,gi|544460009|ref|XP_005566529.1|,29.020,47.06,255,167,4,1,254,134,375,1.91e-73,235
NP_116764.2,gi|1195723892|ref|XP_021020316.1|,93.750,96.88,256,16,0,1,256,192,447,2.29e-73,237
NP_116764.2,gi|594038867|ref|XP_006080899.1|,29.020,47.84,255,167,4,1,254,175,416,2.60e-73,236
NP_116764.2,gi|675605314|ref|XP_008944070.1|,30.980,51.37,255,159,3,1,255,44,281,2.90e-73,231
NP_116764.2,gi|1211446081|ref|XP_021508974.1|,93.750,96.09,256,16,0,1,256,192,447,2.91e-73,237
NP_116764.2,gi|902891766|ref|XP_013035279.1|,31.890,52.36,254,156,3,1,254,44,280,2.97e-73,231
NP_116764.2,gi|350539733|ref|NP_001233633.1|,92.969,96.48,256,18,0,1,256,192,447,3.00e-73,237
NP_116764.2,gi|946649916|ref|XP_014415372.1|,92.188,95.70,256,20,0,1,256,161,416,3.08e-73,236
NP_116764.2,gi|743695512|ref|XP_010954028.1|,92.188,95.70,256,20,0,1,256,175,430,3.25e-73,236
NP_116764.2,gi|149706575|ref|XP_001495710.1|;gi|664757301|ref|XP_008536171.1|,95.312,97.66,256,12,0,1,256,192,447,3.68e-73,236
NP_116764.2,gi|701407355|ref|XP_009970400.1|,30.588,50.98,255,160,3,1,255,44,281,3.69e-73,231
NP_116764.2,gi|1147374994|ref|XP_020036697.1|,94.531,97.27,256,14,0,1,256,193,448,3.78e-73,236
NP_116764.2,gi|504169580|ref|XP_004594391.1|,94.141,97.27,256,15,0,1,256,192,447,4.62e-73,236
NP_116764.2,gi|514792852|ref|XP_005030551.1|;gi|1197368864|ref|XP_021134893.1|,32.283,52.36,254,155,3,1,254,44,280,4.63e-73,231
NP_116764.2,gi|525002215|ref|XP_005048827.1|,29.412,49.41,255,170,4,1,254,65,310,5.18e-73,232
NP_116764.2,gi|1195525933|ref|XP_021045930.1|,93.750,96.48,256,16,0,1,256,192,447,5.31e-73,236
